title,rating,year,genre,director
Yôjinbô,8.2,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Prisoners,8.2,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
The Wild Robot,8.3,,"A|n|i|m|a|t|i|o|n|,| |S|c|i|-|F|i",
Finding Nemo,8.2,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
The Great Escape,8.2,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Monty Python and the Holy Grail,8.2,,"A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y|,| |F|a|n|t|a|s|y",
Hauru no ugoku shiro,8.2,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|m|i|l|y",
The Elephant Man,8.2,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a",
Rashômon,8.2,,"C|r|i|m|e|,| |D|r|a|m|a|,| |M|y|s|t|e|r|y",
Dial M for Murder,8.2,,"C|r|i|m|e|,| |T|h|r|i|l|l|e|r",
Gone with the Wind,8.2,,"D|r|a|m|a|,| |R|o|m|a|n|c|e|,| |W|a|r",
Chinatown,8.1,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |T|h|r|i|l|l|e|r",
El secreto de sus ojos,8.2,,"D|r|a|m|a|,| |M|y|s|t|e|r|y|,| |R|o|m|a|n|c|e",
"Lock, Stock and Two Smoking Barrels",8.1,,"C|o|m|e|d|y|,| |C|r|i|m|e",
Inside Out,8.1,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
V for Vendetta,8.1,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |S|c|i|-|F|i",
"Three Billboards Outside Ebbing, Missouri",8.1,,"C|o|m|e|d|y|,| |C|r|i|m|e|,| |D|r|a|m|a",
Klaus,8.2,,"A|n|i|m|a|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y",
